aet,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,clear_perc,clear_views,duration,flooded,jrc_perm_water
1080.2167154071099,0.0,-4.013016996855691,1080.2167154071099,324.614679302535,216.55282657930027,2754.3056795444027,1847.5924272741254,0,250.60920424811417,313.1954748345387,3238.362892763691,65.96196046526963,213.39813980078705,0.9886908084036177,35.03968882154727,0.24722404396300227,0.19202152920690196,0.21413974420793994
1082.170162708883,0.0,69.88696130167105,1082.170162708883,342.51022427440637,234.31873350923493,2623.587686895338,1873.788082673701,0,248.97849604221622,311.5161609498679,3218.678386103782,64.20349604221633,206.329199648197,0.9813942691833907,34.733618992472486,0.0029415170816444714,0.0007180081065431386,0.10617805966643176
1084.9166245356423,0.0,88.61345701536506,1084.9166245356423,364.6595300375883,256.1885125184094,2434.3564944057334,1884.6049062493137,0,249.15310047699663,310.54417163080063,3203.735036159409,64.52465214428594,201.12091970193225,0.9730831441891615,34.474746328286386,0.010555467278051444,0.0004085987333439269,0.03545984829271668
1077.2752610748173,0.0,-27.817700634209125,1077.2752610748173,307.3612846311572,199.6696628677697,2464.823923513421,1877.2178484573922,0,245.21520194554384,311.20125411282214,3179.7655571980335,64.32931190691906,195.57734490486848,0.9777470543973505,34.58903923301831,0.03005371591759026,0.020908410960766975,0.0048073573468961186
1076.1809910998797,0.0,121.58063949016599,1076.1809910998797,324.5152181079004,216.90513130425245,2282.000175804859,1841.876958575982,0,250.18019997802455,317.387517855181,3239.413998461709,70.98969344028134,172.1265135699375,0.9830668652957717,34.90047257940435,0.32953071766128167,0.2629519727442578,0.06662267678433964
1084.6525952621641,0.0,73.99481387069844,1084.6525952621641,313.6550345009452,205.2049619830354,2270.4077704039046,1857.8744121654306,0,250.9281633191228,315.9375027468907,3217.995714850791,71.77561200720791,175.8518876631654,0.9712764517698949,34.79722570291721,0.09934269823473817,0.071313944030425,0.030176303567891208
1067.5772754234515,0.0,40.26465871394369,1067.5772754234515,306.2591884707488,199.50350403128388,2369.8095520551888,1862.1543311584198,0,247.09578417803584,311.33276214328123,3192.888969441336,64.70933016981928,184.91862738636635,0.9793668859205417,34.698019366197215,0.018750000000000024,0.0075264084507042335,0.06176405733186337
1062.3577776674451,0.0,-37.6655826423713,1062.3577776674451,252.75832878208647,146.5503947172436,2357.2020505436676,1859.7631696539418,0,245.4136587061222,310.1259867931089,3182.503897522469,62.69393277394373,190.2539099349587,0.9762509851138828,34.51652110181395,0.07872717278446222,0.06284737067122699,0.0033411082392989966
1043.2690034062182,0.0,178.12337105812537,1043.2690034062182,334.34921437204673,230.033227117899,2072.290869135259,1789.5539830787814,0,248.600615316998,318.70919679156145,3194.0862982089866,75.82072299747274,133.84865399406644,0.9772715803149395,34.64441270190091,0.06546533347983735,0.06546533347983735,0.0
1047.8100072516318,0.0,151.16986397697056,1047.8100072516318,326.25468609224964,221.50913046344516,1982.544136066979,1810.617003977411,0,250.7240424550069,316.4944514030808,3175.5097677280423,76.62994704111455,125.12279429538316,0.9650170988824587,34.95653415957984,0.03359922649262751,0.027995692970312264,0.0
