aet,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,clear_perc,clear_views,duration,flooded,jrc_perm_water
557.8495349501964,827.5079926999268,115.0270674377184,1385.3854306383155,17.174827942566882,1.0,788.2360210206901,2395.887552496755,0,209.52637481035168,314.274412366147,2482.162140768265,107.83482486422298,205.54343763055456,,,,,
598.0685795954266,784.9330255057166,101.21319261213723,1382.991622691293,25.58276165347406,1.0947669305189096,724.8822559366752,2394.1142040457344,0,209.00241864555846,314.2810026385224,2481.5193491644677,107.57678100263851,204.5824098504837,,,,,
613.9781504846901,740.5720000879261,97.97058888180605,1354.5595146506066,33.18134658079265,1.7769766777306404,636.9090849141629,2393.6741916338783,0,206.86991405271155,309.2482579737544,2493.0002857582494,98.16020047040206,205.66293715516682,,,,,
708.6234085165222,631.2715654952073,118.45746507081203,1339.8671498736344,42.56208573744693,2.0,672.7174669782075,2384.196819417288,0,213.2001096752657,301.3674359830238,2486.3177244766566,94.24483810977061,210.50061990367638,,,,,
435.1004065487311,952.1740248324368,112.56677288210096,1387.2461927260747,20.184353367761787,1.011053730359301,568.808328755082,2421.8178222173406,0,197.8419734095156,320.03771014174276,2343.9192396439967,120.66276233380954,180.37624436875078,,,,,
574.4874522041055,797.9582912143461,107.02254647738766,1372.3939920010564,35.16874697842046,1.8494044741352786,564.0516635168995,2404.9549729705986,0,197.9258119808378,318.28356700215386,2357.3320661011758,116.96560893069059,179.59508636223808,,,,,
706.6898877391864,648.7064302818612,122.46683802368256,1355.4101364265487,45.20538676157214,2.2019596212570587,618.5033282804992,2389.6588457567204,0,199.96891407983506,313.68628484808573,2393.3419670906683,108.74491970386008,189.00599749555158,,,,,
794.0998460851007,545.1773000347554,196.9681743706868,1339.2841467653059,56.93940221438863,2.788813862270992,657.0132813663677,2377.789732386675,0,204.6151382751603,304.1801052579318,2408.9377885904396,98.78844148751313,206.94198401271052,,,,,
487.55330183496284,867.2375343368852,139.81489946159752,1354.7365783979774,28.311240523019435,1.3680254917042078,513.8631798703437,2468.205076365234,0,189.72559059443998,323.34409405559825,2111.7996923415003,142.59639600043946,120.80654873090866,,,,,
593.5872063638565,723.2958665699782,136.83141055222276,1316.8121387918343,42.01738194123982,2.102423802931417,479.73417276462976,2431.608455841959,0,189.3922473465621,315.4979453710419,2135.053464302195,129.5042740677259,120.04065308633842,,,,,
830.7064458016612,490.6900786502046,198.8093940858563,1321.3976888263994,65.1243244430775,3.24913221143284,596.1014983083617,2412.645371061998,0,193.47581176677352,311.7548881761065,2227.9449009183186,118.08893185113581,143.10057559646742,,,,,
1030.4982738522235,285.2940952295552,308.8696870516498,1315.7754214490674,93.9496054519368,4.6668983142037295,759.451533357245,2395.0648762553797,0,194.6350206241032,304.70411137015753,2281.7712742109034,104.54595588235297,170.82837159253938,,,,,
675.6022377560892,653.1030071221313,222.76041941440263,1328.605117383277,44.008265189483886,2.161083267387674,554.0918183416866,2493.6428163193536,0,181.60025938626575,317.90352149828556,1932.480480084412,147.9066868900027,108.46302646619202,,,,,
763.0756176910236,539.5061769102266,229.78899586740553,1302.5534379671167,56.76448606348375,2.910138046249893,522.8160775520976,2463.0775960608494,0,186.7110700782557,313.4726325507785,1992.2719818869257,139.34340103754525,103.98676690407116,,,,,
